tapInTime,tapOutTime,tapInStops,tapOutStops,corridorID,corridorName,direction,jenis_kendaraan,durasi_perjalanan
2023-04-27 06:45:17,2023-04-27 07:31:11,B02114P,B00290P,M7B,BKN - Blok M,1.0,Tidak Diketahui,46
2023-04-27 05:17:56,2023-04-27 06:02:31,P00297,P00178,5D,PGC 1 - Ancol,1.0,Reguler BRT,45
2023-04-27 06:01:54,2023-04-27 06:37:38,B01293P,B01919P,JAK07,Tanah Abang - Grogol via Tawakal,0.0,Mikrotrans,36
2023-04-27 05:08:12,2023-04-27 06:06:10,B01012P,P00045,1M,Meruya - Blok M,0.0,Non reguler BRT,58
2023-04-27 05:21:02,2023-04-27 06:08:00,B06665P,B05200P,2E,Rusun Rawa Bebek - Kodamar,0.0,Tidak Diketahui,47
2023-04-27 06:33:27,2023-04-27 07:20:57,P00090,P00181,9F,Rusun Tambora - Pluit,0.0,Tidak Diketahui,48
2023-04-27 06:19:44,2023-04-27 07:15:14,B02615P,B05581P,11Q,Kampung Melayu - Pulo Gebang via BKT,1.0,Non reguler BRT,56
2023-04-27 06:04:57,2023-04-27 06:57:18,B05408P,B05266P,9H,Blok M - Universitas Indonesia,1.0,Non reguler BRT,52
2023-04-27 06:19:09,2023-04-27 06:58:30,P00036,P00153,10D,Kampung Rambutan - Tanjung Priok,0.0,Reguler BRT,39
2023-04-27 05:16:20,2023-04-27 06:11:02,P00053,P00106,13D,Puri Beta - Ragunan,1.0,Reguler BRT,55
2023-04-27 05:24:06,2023-04-27 06:16:52,B01846P,B03752P,5N,Kampung Melayu - Ragunan,1.0,Non reguler BRT,53
2023-04-27 06:27:06,2023-04-27 07:13:10,B01397P,B06650P,JAK49,Lebak Bulus - Cipulir,0.0,Mikrotrans,46
2023-04-27 06:56:34,2023-04-27 07:38:32,P00161,B05550P,JIS3,Harmoni - Jakarta International Stadium,1.0,Non reguler BRT,42
2023-04-27 05:59:48,2023-04-27 06:19:58,B00101P,B02532P,9D,Pasar Minggu - Tanah Abang,0.0,Non reguler BRT,20
2023-04-27 06:56:17,2023-04-27 07:18:01,B01969P,B02476P,1P,Senen - Blok M,1.0,Non reguler BRT,22
2023-04-27 05:59:12,2023-04-27 06:48:44,B05210P,B04790P,6T,Pasar Minggu - Velbak,0.0,Non reguler BRT,50
2023-04-27 06:23:21,2023-04-27 06:50:29,B00562P,B04776P,JAK26,Rawamangun - Duren Sawit,0.0,Mikrotrans,27
2023-04-27 06:56:53,2023-04-27 07:47:18,B03289P,B02307P,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Tidak Diketahui,50
2023-04-27 05:08:41,2023-04-27 05:56:12,B05423P,B01974P,5F,Kampung Melayu - Tanah Abang,0.0,Non reguler BRT,48
2023-04-27 06:27:23,2023-04-27 06:51:14,B00606P,B01020P,JAK73,Jambore Cibubur - Pasar Rebo,1.0,Mikrotrans,24
2023-04-27 05:08:21,2023-04-27 05:44:08,P00131,P00098,12,Tanjung Priok - Pluit,0.0,Reguler BRT,36
2023-04-27 06:42:03,2023-04-27 07:19:59,B04560P,B05135P,JAK32,Lebak Bulus - Petukangan,1.0,Mikrotrans,38
2023-04-27 05:33:42,2023-04-27 06:21:53,P00050,P00088,3F,Kalideres - Gelora Bung Karno,0.0,Reguler BRT,48
2023-04-27 06:43:27,2023-04-27 07:27:14,B05499P,B02939P,JAK50,Kalideres - Puri Kembangan,0.0,Mikrotrans,44
2023-04-27 05:56:24,2023-04-27 06:22:18,P00018,P00145,7D,Pancoran - Kampung Rambutan,0.0,Non reguler BRT,26
2023-04-27 05:11:21,2023-04-27 05:56:03,B00285P,B06053P,2P,Gondangdia - Senen,1.0,Non reguler BRT,45
2023-04-27 05:47:16,2023-04-27 06:07:46,B03211P,B05577P,JAK29,Tanjung Priok - Sukapura,1.0,Mikrotrans,20
2023-04-27 05:35:30,2023-04-27 06:15:52,B03277P,P00170,3C,Rusun Kapuk Muara - Penjaringan,0.0,Tidak Diketahui,40
2023-04-27 06:08:45,2023-04-27 07:06:41,B05695P,B02320P,JAK48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,Mikrotrans,58
2023-04-27 05:50:07,2023-04-27 06:35:08,P00228,P00048,6V,Ragunan - Gelora Bung Karno,1.0,Reguler BRT,45
2023-04-27 06:12:02,2023-04-27 06:47:05,B02234P,B03795P,JAK06,Kampung Rambutan - Pondok Gede,0.0,Mikrotrans,35
2023-04-27 06:41:30,2023-04-27 07:12:00,B02876P,B04429P,JAK45,Lebak Bulus - Ragunan,1.0,Mikrotrans,30
2023-04-27 05:55:00,2023-04-27 06:48:42,B02636P,B04930P,8K,Batusari - Grogol,1.0,Non reguler BRT,54
2023-04-27 05:25:30,2023-04-27 06:15:31,B02016P,B01380P,JAK42,Kampung Melayu - Pondok Kelapa,1.0,Mikrotrans,50
2023-04-27 06:20:06,2023-04-27 07:03:56,B00080P,B02650P,12B,Pluit - Senen,1.0,Non reguler BRT,44
2023-04-27 05:13:17,2023-04-27 05:49:58,P00016,B00248P,7C,Cibubur - BKN,1.0,Transjabodetabek,37
2023-04-27 05:10:20,2023-04-27 06:05:21,B04368P,B04608P,JAK110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,Mikrotrans,55
2023-04-27 05:04:19,2023-04-27 05:48:12,B02298P,B05219P,JAK46,Pasar Minggu - Jagakarsa,0.0,Mikrotrans,44
2023-04-27 06:12:43,2023-04-27 06:58:46,B05904P,B00053P,S21,Ciputat - CSW,0.0,Transjabodetabek,46
2023-04-27 06:11:34,2023-04-27 06:48:06,P00193,P00189,4,Pulo Gadung 2 - Tosari,0.0,Reguler BRT,37
2023-04-27 05:32:39,2023-04-27 06:23:19,P00131,P00008,M12,Sunter Boulevard Barat - Penjaringan,0.0,Reguler BRT,51
2023-04-27 06:48:54,2023-04-27 07:22:57,B03312P,B00360P,1N,Tanah Abang - Blok M,0.0,Non reguler BRT,34
2023-04-27 05:42:14,2023-04-27 06:24:07,B00611P,B00221P,D32,Cinere - Bundaran Senayan,0.0,Royal transjakarta,42
2023-04-27 06:15:28,2023-04-27 07:06:10,P00010,P00137,M7,Kampung Rambutan - Monas,0.0,Reguler BRT,51
2023-04-27 06:04:36,2023-04-27 06:56:58,B02232P,B00615P,JAK27,Pulo Gebang - Rorotan,0.0,Mikrotrans,52
2023-04-27 05:22:37,2023-04-27 05:45:21,B04417P,B03014P,JAK18,Kalibata - Kuningan,0.0,Mikrotrans,23
2023-04-27 06:14:04,2023-04-27 06:39:35,P00106,P00259,13,Ciledug - Tendean,0.0,Reguler BRT,26
2023-04-27 05:51:54,2023-04-27 06:37:02,B04552P,B04932P,JAK51,Taman Kota - Budi Luhur,0.0,Mikrotrans,45
2023-04-27 06:32:20,2023-04-27 07:31:27,P00028,B03298P,2F,Rusun Cakung Barat - Pulo Gadung,0.0,Tidak Diketahui,59
2023-04-27 05:15:17,2023-04-27 05:55:07,B00115P,B05695P,JAK48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,Mikrotrans,40
2023-04-27 06:40:50,2023-04-27 07:29:33,B05099P,B06291P,6U,Blok M - Pasar Minggu,0.0,Non reguler BRT,49
2023-04-27 06:04:36,2023-04-27 06:56:43,B02977P,P00270,11D,Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Non reguler BRT,52
2023-04-27 06:40:09,2023-04-27 07:17:35,B00879P,B02798P,JAK51,Taman Kota - Budi Luhur,0.0,Mikrotrans,37
2023-04-27 06:53:38,2023-04-27 07:51:30,B05311P,B01610P,1E,Pondok Labu - Blok M,0.0,Non reguler BRT,58
2023-04-27 05:14:22,2023-04-27 05:37:43,P00232,P00171,10,Tanjung Priok - PGC 2,1.0,Reguler BRT,23
2023-04-27 06:35:49,2023-04-27 07:22:30,B02079P,B05524P,JAK54,Grogol - Benhil,0.0,Mikrotrans,47
2023-04-27 06:37:30,2023-04-27 07:32:10,P00028,P00157,2B,Harapan Indah - ASMI,1.0,Non reguler BRT,55
2023-04-27 05:52:21,2023-04-27 06:24:54,B05937P,B00415P,JAK110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,0.0,Mikrotrans,33
2023-04-27 06:27:26,2023-04-27 07:12:57,B05950P,B05394P,JAK03,Lebak Bulus - Andara,1.0,Mikrotrans,46
2023-04-27 06:17:59,2023-04-27 06:51:12,B01027P,B03173P,JAK36,Cilangkap - Cililitan,0.0,Mikrotrans,33
2023-04-27 06:26:58,2023-04-27 06:59:58,P00158,P00059,M11,Pulo Gebang - Pulo Gadung 2,1.0,Reguler BRT,33
2023-04-27 05:24:35,2023-04-27 05:54:33,B02374P,B03132P,1Q,Rempoa - Blok M,1.0,Non reguler BRT,30
2023-04-27 05:21:04,2023-04-27 06:08:43,B01529P,B03015P,JAK50,Kalideres - Puri Kembangan,0.0,Mikrotrans,48
2023-04-27 06:00:04,2023-04-27 06:46:04,B02627P,B03201P,10K,Tanjung Priok - Senen via Taman BMW,0.0,Non reguler BRT,46
2023-04-27 06:32:20,2023-04-27 05:34:30,B05324P,P00138,JAK120,JIS - Terminal Muara Angke,1.0,Mikrotrans,72
2023-04-27 05:14:30,2023-04-27 05:40:14,P00007,P00161,5C,PGC - Juanda,0.0,Reguler BRT,26
2023-04-27 05:23:40,2023-04-27 06:13:42,B04505P,B03396P,6D,Stasiun Tebet - Karet via Underpass,0.0,Non reguler BRT,50
2023-04-27 06:19:35,2023-04-27 06:49:33,B00045P,B00042P,JAK44,Andara - Stasiun Universitas Pancasila,1.0,Mikrotrans,30
2023-04-27 06:24:11,2023-04-27 06:49:33,P00024,P00079,6A,Ragunan - MH Thamrin via Kuningan,0.0,Reguler BRT,72
2023-04-27 06:05:59,2023-04-27 06:45:26,B03325P,B02848P,4F,Pinang Ranti - Pulo Gadung,0.0,Non reguler BRT,39
2023-04-27 06:20:09,2023-04-27 06:58:59,B05624P,B03314P,1P,Senen - Blok M,1.0,Non reguler BRT,39
2023-04-27 06:42:11,2023-04-27 07:03:00,B03557P,B00423P,JAK25,Kp. Rambutan - Kalisari,0.0,Mikrotrans,21
2023-04-27 05:46:12,2023-04-27 06:08:42,B05768P,P00297,B21,Bekasi Timur - Cawang,0.0,Transjabodetabek,22
2023-04-27 06:09:16,2023-04-27 06:51:16,P00259,P00043,13,Ciledug - Tendean,1.0,Reguler BRT,42
2023-04-27 05:26:21,2023-04-27 05:59:57,P00261,P00085,6B,Ragunan - MH Thamrin via Semanggi,1.0,Reguler BRT,34
2023-04-27 06:48:41,2023-04-27 07:31:35,B03899P,B00868P,JAK64,Lenteng Agung - Aseli,1.0,Mikrotrans,43
2023-04-27 05:33:59,2023-04-27 06:06:31,B04576P,B05009P,JAK30,Grogol - Meruya via Roxy,1.0,Mikrotrans,33
2023-04-27 05:27:25,2023-04-27 06:21:48,B05993P,B06875P,JAK88,Terminal Tanjung Priok - Ancol Barat,1.0,Mikrotrans,54
2023-04-27 05:32:18,2023-04-27 05:52:18,P00015,P00297,5B,Stasiun Tebet - BNN,0.0,Non reguler BRT,20
2023-04-27 05:00:17,2023-04-27 05:54:59,B06791P,B02495P,JAK16,Cililitan - Condet,0.0,Mikrotrans,55
2023-04-27 06:49:53,2023-04-27 07:12:18,P00081,P00087,3,Kalideres - Bundaran HI via Veteran,0.0,Reguler BRT,22
2023-04-27 05:23:29,2023-04-27 05:45:06,P00091,P00201,3,Kalideres - Bundaran HI via Veteran,1.0,Reguler BRT,22
2023-04-27 06:08:31,2023-04-27 06:30:39,B02767P,B02775P,JAK06,Kampung Rambutan - Pondok Gede,0.0,Mikrotrans,22
2023-04-27 06:28:40,2023-04-27 07:08:36,B00048P,B05823P,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Non reguler BRT,40
2023-04-27 05:22:29,2023-04-27 06:00:52,B05634P,B01677P,JAK85,Bintara - Cipinang Indah,1.0,Mikrotrans,38
2023-04-27 06:18:48,2023-04-27 07:00:31,P00164,P00024,M6,Ragunan - MH Thamrin,1.0,Reguler BRT,42
2023-04-27 05:42:36,2023-04-27 06:31:26,B03277P,P00170,3C,Rusun Kapuk Muara - Penjaringan,0.0,Tidak Diketahui,49
2023-04-27 06:19:07,2023-04-27 07:08:34,B05739P,B03396P,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,0.0,Non reguler BRT,49
2023-04-27 05:41:13,2023-04-27 06:36:33,P00138,P00013,12A,Pelabuhan Kaliadem - Kota,0.0,Non reguler BRT,55
2023-04-27 05:35:48,2023-04-27 06:14:57,B01625P,B01984P,JAK39,Kalimalang - Duren Sawit,0.0,Mikrotrans,39
2023-04-27 05:00:59,2023-04-27 05:30:56,P00297,P00033,9A,PGC 2 - Grogol 2,1.0,Reguler BRT,30
2023-04-27 06:37:34,2023-04-27 07:26:10,P00074,P00088,M3,Kalideres - Bundaran HI via Veteran,0.0,Reguler BRT,49
2023-04-27 05:10:45,2023-04-27 06:03:29,B05850P,B02070P,JAK26,Rawamangun - Duren Sawit,1.0,Mikrotrans,53
2023-04-27 05:24:20,2023-04-27 06:06:01,B05680P,B00491P,9H,Blok M - Universitas Indonesia,1.0,Non reguler BRT,42
2023-04-27 06:20:35,2023-04-27 07:14:08,B00226P,B00248P,7C,Cibubur - BKN,1.0,Transjabodetabek,54
2023-04-27 06:16:30,2023-04-27 07:14:01,B00354P,B04170P,JAK42,Kampung Melayu - Pondok Kelapa,1.0,Mikrotrans,58
2023-04-27 06:46:58,2023-04-27 07:26:53,P00083,B02317P,8C,Kebayoran Lama - Tanah Abang,1.0,Non reguler BRT,40
2023-04-27 06:07:10,2023-04-27 07:26:53,P00172,P00128,8,Lebak Bulus - Pasar Baru via Tomang,1.0,Reguler BRT,72
2023-04-27 06:09:57,2023-04-27 07:26:53,B00561P,B02959P,JAK21,Cililitan - Dwikora,0.0,Mikrotrans,72
2023-04-27 05:55:15,2023-04-27 06:30:51,B00368P,B03289P,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Tidak Diketahui,36
2023-04-27 06:48:52,2023-04-27 07:13:43,B01794P,B03889P,JAK43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Mikrotrans,25
2023-04-27 06:53:03,2023-04-27 07:30:29,B06119P,B04437P,JAK80,Rawa Buaya - Rawa Kompeni,1.0,Mikrotrans,37
2023-04-27 06:20:38,2023-04-27 06:57:59,B00320P,B01259P,JAK11,Tanah Abang - Kebayoran Lama,0.0,Mikrotrans,37
2023-04-27 05:34:01,2023-04-27 06:30:22,B02274P,B01779P,4E,Rusun Jatinegara Kaum - Pulo Gadung,0.0,Tidak Diketahui,56
2023-04-27 05:00:29,2023-04-27 05:46:21,B01184P,B00148P,S31,Bintaro - Fatmawati,1.0,Royal transjakarta,46
2023-04-27 05:24:19,2023-04-27 06:18:06,B06427P,B06432P,JAK23,Senen - Pisangan Baru,0.0,Mikrotrans,54
2023-04-27 05:44:39,2023-04-27 06:10:06,P00071,P00024,6V,Ragunan - Gelora Bung Karno,1.0,Reguler BRT,25
2023-04-27 05:19:12,2023-04-27 05:48:04,B00465P,B03828P,JAK50,Kalideres - Puri Kembangan,0.0,Mikrotrans,29
2023-04-27 05:47:42,2023-04-27 06:23:57,P00127,P00269,M4,Pulo Gadung 2 - Dukuh Atas 2,0.0,Reguler BRT,36
2023-04-27 05:19:21,2023-04-27 05:50:33,B03717P,B01733P,JAK46,Pasar Minggu - Jagakarsa,0.0,Mikrotrans,31
2023-04-27 05:43:48,2023-04-27 06:28:01,B00083P,B04647P,JAK17,Senen - Pulo Gadung,0.0,Mikrotrans,44
2023-04-27 06:03:07,2023-04-27 06:56:00,B05693P,B05637P,1P,Senen - Blok M,0.0,Non reguler BRT,53
2023-04-27 06:43:30,2023-04-27 07:14:16,B02151P,B01804P,5F,Kampung Melayu - Tanah Abang,1.0,Non reguler BRT,31
2023-04-27 05:16:33,2023-04-27 05:50:46,B03368P,B05455P,JAK11,Tanah Abang - Kebayoran Lama,0.0,Mikrotrans,34
2023-04-27 05:13:08,2023-04-27 05:36:51,B01310P,B00707P,JAK112,Terminal Tanah Merah - Pulo Gadung,1.0,Mikrotrans,24
2023-04-27 06:46:35,2023-04-27 07:31:26,B00611P,B00221P,6D,Stasiun Tebet - Karet via Underpass,1.0,Non reguler BRT,45
2023-04-27 06:54:05,2023-04-27 07:23:57,B01638P,B00816P,JAK08,Roxy - Benhil,1.0,Mikrotrans,30
2023-04-27 06:09:24,2023-04-27 06:32:03,B04290P,P00145,7D,Pancoran - Kampung Rambutan,1.0,Non reguler BRT,23
2023-04-27 06:37:46,2023-04-27 07:04:58,B04287P,B04878P,JAK112,Terminal Tanah Merah - Pulo Gadung,1.0,Mikrotrans,27
2023-04-27 05:51:19,2023-04-27 06:21:05,P00270,P00169,11K,Rusun Komarudin - Penggilingan,0.0,Tidak Diketahui,30
2023-04-27 05:08:15,2023-04-27 06:06:34,B01335P,B05102P,JAK11,Tanah Abang - Kebayoran Lama,1.0,Mikrotrans,58
2023-04-27 05:26:39,2023-04-27 05:56:36,B02541P,B02470P,9D,Pasar Minggu - Tanah Abang,0.0,Non reguler BRT,30
2023-04-27 06:40:05,2023-04-27 07:38:10,B04301P,B05783P,8C,Kebayoran Lama - Tanah Abang,1.0,Non reguler BRT,58
2023-04-27 05:54:56,2023-04-27 06:43:08,B04112P,B05438P,JAK43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Mikrotrans,48
2023-04-27 17:18:53,2023-04-27 18:37:57,B03318P,P00235,6C,Stasiun Tebet - Karet via Patra Kuningan,1.0,Non reguler BRT,79
2023-04-27 16:41:48,2023-04-27 18:05:40,B02389P,B04990P,R1A,Pantai Maju - Kota,1.0,Non reguler BRT,84
2023-04-27 17:25:48,2023-04-27 18:46:27,B02947P,B02548P,11D,Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Non reguler BRT,81
2023-04-27 17:22:01,2023-04-27 19:19:30,P00241,P00272,12,Tanjung Priok - Pluit,1.0,Reguler BRT,117
2023-04-27 17:16:13,2023-04-27 18:06:19,B00325P,B02873P,1T,Cibubur - Balai Kota,1.0,Royal transjakarta,50
2023-04-27 17:07:29,2023-04-27 18:08:27,B01567P,B02230P,JAK18,Kalibata - Kuningan,1.0,Mikrotrans,61
2023-04-27 17:44:17,2023-04-27 19:31:40,B01204P,B01493P,JAK03,Lebak Bulus - Andara,0.0,Mikrotrans,107
2023-04-27 17:09:13,2023-04-27 18:54:46,B01963P,B04686P,B14,Bekasi Barat - Kuningan,0.0,Royal transjakarta,106
2023-04-27 17:38:24,2023-04-27 19:07:38,B05642P,B01154P,1Q,Rempoa - Blok M,1.0,Non reguler BRT,89
2023-04-27 17:21:56,2023-04-27 18:12:03,B01786P,B00159P,5M,Kampung Melayu - Tanah Abang via Cikini,0.0,Non reguler BRT,50
2023-04-27 16:56:18,2023-04-27 18:24:06,B01795P,P00254,M7B,BKN - Blok M,0.0,Tidak Diketahui,88
2023-04-27 16:02:34,2023-04-27 16:59:12,P00029,P00143,9A,PGC 2 - Grogol 2,0.0,Reguler BRT,57
2023-04-27 17:58:55,2023-04-27 16:59:12,P00188,P00014,4,Pulo Gadung 2 - Tosari,0.0,Reguler BRT,72
2023-04-27 16:12:23,2023-04-27 17:15:55,B01591P,B03539P,JAK46,Pasar Minggu - Jagakarsa,0.0,Mikrotrans,64
2023-04-27 17:41:25,2023-04-27 18:59:09,B03033P,B02919P,S22,Ciputat - Kampung Rambutan,1.0,Transjabodetabek,78
2023-04-27 16:31:03,2023-04-27 18:29:32,P00096,P00044,13,Ciledug - Tendean,0.0,Reguler BRT,118
2023-04-27 17:07:48,2023-04-27 18:18:13,B01792P,P00190,9E,Kebayoran Lama - Jelambar,0.0,Non reguler BRT,70
2023-04-27 17:23:57,2023-04-27 18:19:52,P00090,P00181,M9,Pinang Ranti - Pluit,0.0,Reguler BRT,56
2023-04-27 17:45:16,2023-04-27 19:08:30,B05970P,B06875P,JAK88,Terminal Tanjung Priok - Ancol Barat,1.0,Mikrotrans,83
2023-04-27 16:26:41,2023-04-27 17:41:58,B02871P,B04674P,T11,Poris Plawad - Bundaran Senayan,0.0,Transjabodetabek,75
2023-04-27 16:11:42,2023-04-27 17:31:39,B03038P,B00410P,JAK16,Cililitan - Condet,1.0,Mikrotrans,80
2023-04-27 17:31:08,2023-04-27 18:52:05,P00086,B00767P,11Q,Kampung Melayu - Pulo Gebang via BKT,1.0,Non reguler BRT,81
2023-04-27 16:12:39,2023-04-27 17:30:31,B02339P,B05706P,JAK02,Kampung Melayu - Duren Sawit,1.0,Mikrotrans,78
2023-04-27 17:52:07,2023-04-27 19:36:17,P00080,P00234,11,Pulo Gebang - Matraman,1.0,Reguler BRT,104
2023-04-27 16:05:50,2023-04-27 17:50:39,B04684P,B02008P,1C,Pesanggrahan - Blok M,1.0,Non reguler BRT,105
2023-04-27 17:55:39,2023-04-27 19:22:32,B04136P,B00192P,3B,Rusun Flamboyan - Cengkareng,1.0,Tidak Diketahui,87
2023-04-27 16:25:46,2023-04-27 19:22:32,B01680P,B03165P,R1A,Pantai Maju - Kota,1.0,Non reguler BRT,72
2023-04-27 17:42:54,2023-04-27 19:20:16,P00256,P00261,M1,Blok M - Kota,1.0,Reguler BRT,97
2023-04-27 17:45:26,2023-04-27 19:25:57,B03746P,B01965P,JAK46,Pasar Minggu - Jagakarsa,0.0,Mikrotrans,101
2023-04-27 16:18:58,2023-04-27 19:25:57,B01062P,P00247,7E,Kampung Rambutan - Ragunan,1.0,Non reguler BRT,72
2023-04-27 16:12:10,2023-04-27 18:11:49,B00113P,B05442P,1P,Senen - Blok M,1.0,Non reguler BRT,120
2023-04-27 17:26:00,2023-04-27 18:48:23,B01762P,P00029,7D,Pancoran - Kampung Rambutan,1.0,Non reguler BRT,82
2023-04-27 17:56:27,2023-04-27 19:49:37,B02840P,P00103,6H,Senen - Lebak Bulus,0.0,Non reguler BRT,113
2023-04-27 17:29:12,2023-04-27 18:23:23,B04517P,B00292P,14,Jakarta International Stadium - Senen,0.0,Non reguler BRT,54
2023-04-27 17:35:01,2023-04-27 19:34:58,B06049P,B06040P,BW9,Monas - Pantai Indah Kapuk,0.0,Tidak Diketahui,120
2023-04-27 16:10:42,2023-04-27 19:34:58,B04789P,B01745P,JIS3,Harmoni - Jakarta International Stadium,1.0,Non reguler BRT,72
2023-04-27 16:09:09,2023-04-27 17:16:11,B01786P,B02830P,5M,Kampung Melayu - Tanah Abang via Cikini,0.0,Non reguler BRT,67
2023-04-27 16:25:10,2023-04-27 17:31:54,P00037,P00192,2,Pulo Gadung - Monas,1.0,Reguler BRT,67
2023-04-27 16:23:55,2023-04-27 17:58:38,B03236P,B02620P,JAK15,Bulak Turi - Tanjung Priok,1.0,Mikrotrans,95
2023-04-27 16:35:47,2023-04-27 18:24:24,B05252P,B00079P,R1A,Pantai Maju - Kota,0.0,Non reguler BRT,109
2023-04-27 16:24:29,2023-04-27 18:24:12,B06577P,B00067P,6N,Ragunan - Blok M via Kemang,1.0,Non reguler BRT,120
2023-04-27 17:56:16,2023-04-27 19:25:09,P00059,P00169,M11,Pulo Gebang - Pulo Gadung 2,1.0,Reguler BRT,89
2023-04-27 17:32:45,2023-04-27 19:29:37,P00016,P00064,9N,Pinang Ranti - Pramuka,1.0,Reguler BRT,117
2023-04-27 16:15:34,2023-04-27 17:13:27,B04133P,B05772P,JAK43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Mikrotrans,58
2023-04-27 16:48:07,2023-04-27 18:38:01,B04469P,B01578P,JAK42,Kampung Melayu - Pondok Kelapa,0.0,Mikrotrans,110
2023-04-27 16:06:50,2023-04-27 17:08:13,P00014,P00192,2,Pulo Gadung - Monas,1.0,Reguler BRT,61
2023-04-27 17:14:14,2023-04-27 18:09:30,B00335P,B02141P,7P,Pondok Kelapa - BKN,0.0,Non reguler BRT,55
2023-04-27 17:03:26,2023-04-27 18:28:35,B05083P,B02227P,JAK02,Kampung Melayu - Duren Sawit,1.0,Mikrotrans,85
2023-04-27 16:09:02,2023-04-27 17:48:37,P00224,P00134,11,Pulo Gebang - Matraman,0.0,Reguler BRT,100
2023-04-27 17:29:51,2023-04-27 18:53:50,B00949P,B01079P,JAK36,Cilangkap - Cililitan,1.0,Mikrotrans,84
2023-04-27 17:09:39,2023-04-27 18:17:27,P00200,P00144,13B,Puri Beta - Pancoran Barat,0.0,Tidak Diketahui,68
2023-04-27 17:52:23,2023-04-27 19:07:52,B05416P,B02117P,1Q,Rempoa - Blok M,0.0,Non reguler BRT,75
2023-04-27 16:28:34,2023-04-27 17:41:48,B00700P,B02502P,JAK06,Kampung Rambutan - Pondok Gede,1.0,Mikrotrans,73
2023-04-27 17:32:09,2023-04-27 19:08:57,B01638P,B03261P,JAK14,Tanah Abang - Meruya,0.0,Mikrotrans,97
2023-04-27 17:40:49,2023-04-27 19:27:53,P00051,P00060,M7,Kampung Rambutan - Monas,1.0,Reguler BRT,107
2023-04-27 17:26:04,2023-04-27 19:17:46,B04940P,B03893P,JAK15,Bulak Turi - Tanjung Priok,1.0,Mikrotrans,112
2023-04-27 17:33:08,2023-04-27 18:45:08,P00008,B02805P,12A,Pelabuhan Kaliadem - Kota,1.0,Non reguler BRT,72
2023-04-27 16:58:16,2023-04-27 18:07:41,P00133,P00071,1,Blok M - Kota,0.0,Reguler BRT,72
2023-04-27 16:15:38,2023-04-27 17:26:11,B03286P,B02379P,3A,Rusun Pesakih - Kalideres,0.0,Tidak Diketahui,71
2023-04-27 17:14:17,2023-04-27 18:13:43,B00037P,B01272P,6N,Ragunan - Blok M via Kemang,0.0,Non reguler BRT,59
2023-04-27 17:36:55,2023-04-27 19:06:00,B03277P,P00170,3C,Rusun Kapuk Muara - Penjaringan,0.0,Tidak Diketahui,89
2023-04-27 16:34:55,2023-04-27 17:39:51,P00209,P00161,M8,Lebak Bulus - Pasar Baru,1.0,Reguler BRT,65
2023-04-27 17:09:00,2023-04-27 18:13:59,P00019,P00297,B21,Bekasi Timur - Cawang,0.0,Transjabodetabek,65
2023-04-27 16:19:50,2023-04-27 17:31:21,B02804P,B02489P,12A,Pelabuhan Kaliadem - Kota,0.0,Non reguler BRT,72
2023-04-27 17:22:59,2023-04-27 18:19:19,B05773P,B00325P,1T,Cibubur - Balai Kota,1.0,Royal transjakarta,56
2023-04-27 17:52:58,2023-04-27 19:12:41,B02525P,B03109P,JAK71,Kampung Rambutan - Pinang Ranti,1.0,Mikrotrans,80
2023-04-27 16:43:15,2023-04-27 18:21:09,B01704P,B06872P,JAK77,Tanjung Priok - Jembatan Item,1.0,Mikrotrans,98
2023-04-27 16:17:20,2023-04-27 17:36:01,P00025,P00081,M3,Kalideres - Bundaran HI via Veteran,0.0,Reguler BRT,79
2023-04-27 16:13:14,2023-04-27 17:54:02,B04625P,B00042P,JAK44,Andara - Stasiun Universitas Pancasila,1.0,Mikrotrans,101
2023-04-27 17:26:40,2023-04-27 19:07:39,B06066P,B06067P,14,Jakarta International Stadium - Senen,1.0,Non reguler BRT,101
2023-04-27 16:49:30,2023-04-27 18:43:29,B00138P,B05512P,JAK48B,Stasiun Tebet - Kampung Melayu,1.0,Mikrotrans,114
2023-04-27 17:46:21,2023-04-27 19:08:13,B02048P,B05344P,8K,Batusari - Grogol,0.0,Non reguler BRT,82
2023-04-27 16:09:16,2023-04-27 17:52:24,P00196,P00248,M10,PGC 2 - Tanjung Priok,0.0,Reguler BRT,103
2023-04-27 17:54:32,2023-04-27 19:11:51,P00247,P00101,10D,Kampung Rambutan - Tanjung Priok,0.0,Reguler BRT,77
2023-04-27 17:43:30,2023-04-27 18:36:25,B00154P,B03604P,JAK75,Cililitan - Kp. Pulo,1.0,Mikrotrans,53
